Time,F-Scale,Location,County,State,Lat,Lon,Comments
1648,UNK,3 N HARVEY,WELLS,ND,47.81,-99.94,BRIEF TOUCHDOWN 3 N OF HARVEY BY GOOSE LAKE. REPORT RELAYED BY THE MEDIA. (BIS)
1808,UNK,4 SSE NEW ROCKFORD,EDDY,ND,47.63,-99.1,CLEAR DAMAGE PATH FROM HIGHWAY 281 4S NEW ROCKFORD THROUGH SHELTER-BELT EAST OF 281 (FGF)
1809,UNK,4 S NEW ROCKFORD,EDDY,ND,47.62,-99.14,TORNADO TRACKED FOR AT LEAST A MILE TO AROUND 5 MILES SSE OF NEW ROCKFORD BY 112 PM CDT. TORNADO BROKE DOWN TWO POWER POLES ALONG THE WEST SIDE OF HWY 281 AND SEVERELY (FGF)
1842,UNK,2 W JUANITA,FOSTER,ND,47.5,-98.73,TORNADO ON THE GROUND FOR 3 TO 4 MINUTES. (BIS)
1928,UNK,10 ENE KENSAL,FOSTER,ND,47.36,-98.54,BRIEF TOUCHDOWN. (BIS)
1935,UNK,1 SW SUTTON,GRIGGS,ND,47.39,-98.45,THIS TORNADO TRACKED INTERMITTENTLY FOR ABOUT 5 MILES TO AROUND 2 WSW OF REVERE BY 250 PM CDT. SEVERAL TREES WERE KNOCKED DOWN IN SHELTER BELTS ALONG THE ROUTE. MAXIMUM (FGF)
2016,UNK,4 W HANNAFORD,GRIGGS,ND,47.31,-98.27,BRIEF TOUCHDOWN FOR APPROXIMATELY 2 MINUTES. TREES AND TREE LIMBS BLOWN DOWN. TORNADO TRACKED FOR LESS THAN A MILE FROM 4 WNW HANNAFORD TO AROUND 3.5 WEST OF HANNAFORD (FGF)
2305,UNK,11 NE EDGELEY,LAMOURE,ND,46.47,-98.55,RELAYED BY LAW ENFORCEMENT. FARMSTEAD HIT BY TORNADO. HOUSE DAMAGED. NO INJURIES. (BIS)
2305,UNK,7 SE NORTONVILLE,LAMOURE,ND,46.49,-98.63,*** 1 INJ *** UPPER BOUND EF3 TORNADO. WIND SPEEDS 165 MPH. MOVED SOUTHEAST AND LIFTED 6 MILES SOUTH SOUTHEAST OF BERLIN AROUND 645 PM CDT. TIMES ARE ESTIMATED. THIS WA (BIS)
2335,UNK,2 W BERLIN,LAMOURE,ND,46.38,-98.53,SIGNIFICANT DAMAGE TO HOUSE FROM TORNADO. (BIS)
0006,UNK,3 N FULLERTON,DICKEY,ND,46.21,-98.43,REPORTS FROM EMERGENCY MANAGER OF FUNNEL WITH DEBRIS 3 N OF FULLERTON BUT WAS BECOMING RAIN WRAPPED. (BIS)
