Time,F_Scale,Location,County,State,Lat,Lon,Comments
1825,UNK,1 ESE EAST SEBAGO,CUMBERLAND,ME,43.85,-70.61,NWS STORM SURVEY CONFIRMS EF0 TORNADO OVER SEBAGO LAKE IN CUMBERLAND COUNTY MAINE. MINIMAL DAMAGE OCCURRED OVER LAND BUT NUMEROUS EYEWITNESS REPORTS... PICTURES... AND (GYX)
1828,UNK,EAST SEBAGO,CUMBERLAND,ME,43.86,-70.63,PONTOON BOAT FLIPPED ON SHORE ROAD. SEVERAL OTHER BOATS HAD COVERS AND TOPS SHREDDED. LAWN FURNITURE TORN OFF DECKS AND THROWN INTO THE LAKE (GYX)
1830,UNK,1 S BIG BASIN,CUMBERLAND,ME,43.86,-70.57,TWITTER PHOTO SHOWS WATERSPOUT OVER SEBAGO LAKE. TAKEN FROM LONG BEACH LOOKING EAST. (GYX)
2042,UNK,1 S WEST BRIDGTON,CUMBERLAND,ME,44.05,-70.82,NWS STORM SURVEY CONFIRMS EF1 TORNADO IN BRIDGTON MAINE. DAMAGE INCLUDED SNAPPED AND UPROOTED TREES AS WELL AS TOPPLED POWER POLES. A DOCK WAS ALSO DAMAGED BY THE DOWNE (GYX)
2045,UNK,WEST BRIDGTON,CUMBERLAND,ME,44.06,-70.81,ROADS IMPASSABLE FROM DEBRIS. TREES AND HOUSES DAMAGED ON THOMPSON ROAD... NORTH HIGH STREET... MOUNTAIN ROAD (GYX)
2050,UNK,1 ESE WEST BRIDGTON,CUMBERLAND,ME,44.06,-70.81,RAIN WRAPPED TORNADO ON GROUND REPERTED BY SOMEONE DRIVING ON 302 NEAR MOOSE POND NEAR SHAWNEE PEAK (GYX)
2209,UNK,3 SSE WEST BRIDGTON,OXFORD,ME,44.03,-70.8,NWS STORM SURVEY CONFIRMS EF1 TORNADO IN DENMARK MAINE. DOZENS OF SNAPPED AND UPROOTED TREES. DAMAGED TREES FELL ONTO AT LEAST ONE VEHICLE... MULTIPLE CABINS... AND AT (GYX)
2214,UNK,BRIDGTON,CUMBERLAND,ME,44.06,-70.72,*** 1 INJ *** NWS STORM SURVEY CONFIRMS EF1 TORNADO IN BRIDGTON MAINE. NUMEROUS HARD AND SOFTWOOD TREED WERE UPROOTED AND SNAPPED AT TREE BASE. SOME OF THESE TREES WERE (GYX)
2223,UNK,2 ENE BRIDGTON,CUMBERLAND,ME,44.07,-70.68,VIDEO SHOWS WATERSPOUT TORNADO CROSSING LONG LAKE VIEWED FROM THE NORTH IN HARRISON. (GYX)
2235,UNK,2 WNW OTISFIELD,OXFORD,ME,44.16,-70.6,EF-0 TORNADO TOUCHED DOWN ON BOLSTERS MILL ROAD AND MOVED EAST. LIFTED JUST EAST OF THE INTERSECTION OF PEACO ROAD AND RAYVILLE ROAD. (GYX)
