Time,F_Scale,Location,County,State,Lat,Lon,Comments
2008,UNK,2 W ARLINGTON,RUSH,IN,39.64,-85.62,SURVEY CONFIRMED TORNADO FROM 5ESE MORRISTOWN TO 3N RUSHVILLE. (IND)
2142,UNK,5 SE ARCANUM,DARKE,OH,39.94,-84.48,NWS SURVEY CONFIRMS AN EF1 TORNADO TOUCHED DOWN AND DAMAGED BARNS AND OUTBUILDINGS... AND HEAVILY DAMAGED A NUMBER OF TREES IN SOUTHEAST DARKE COUNTY. 2.5 MILE TRACK LE (ILN)
2153,UNK,2 WNW WEST MILTON,MIAMI,OH,39.97,-84.36,NWS SURVEY CONFIRMS AN EF2 TORNADO WITH A TRACK LENGTH OF 13.9 MILES ACROSS MIAMI COUNTY. SIGNIFICANT DAMAGE TO SEVERAL INDUSTRIAL BUILDINGS... A LARGE NUMBER OF TREES. (ILN)
2207,UNK,2 NW TIPP CITY,MIAMI,OH,39.98,-84.21,SIGNIFICANT DAMAGE TO A DISTRIBUTION CENTER NEAR INTERSTATE 75. DAMAGE WAS CAUSED BY A TORNADO. ADDITIONAL CONFIRMATION DETAILS TO COME AFTER SURVEY. (ILN)
2213,UNK,SUMMITVILLE,MADISON,IN,40.34,-85.65,SURVEY CONFIRMED TORNADO ON THE GROUND FOR 0.57MI IN SUMMITVILLE... IN. (IND)
2223,UNK,3 NE NEW CARLISLE,CLARK,OH,39.97,-83.99,EF1 TORNADO CONFIRMED IN CLARK COUNTY OHIO. DAMAGE EXTENDS FROM NORTHEAST OF NEW CARLISLE TO JUST EAST OF BUCK CREEK STATE PARK. (ILN)
2242,UNK,4 N URBANA,CHAMPAIGN,OH,40.17,-83.75,EF0 TORNADO CONFIRMED IN CHAMPAIGN COUNTY. TREE DAMAGE AND SOME STRUCTURAL DAMAGE ALONG PATH. (ILN)
2307,UNK,1 SSW SARDINIA,BROWN,OH,39,-83.81,EF0 TORNADO CONFIRMED IN SARDINIA OHIO. TREE DAMAGE OBSERVED IN AND EAST OF SARDINIA. (ILN)
2308,UNK,1 SE SARDINIA,BROWN,OH,39,-83.8,LARGE TREES DOWN. MEDIUM SIZED LIMB DOWN ON A CAMPER. LOCATED NEAR GRAHAM ST AND YANKEE RD. TIME ESTIMATED FROM RADAR. (ILN)
2308,UNK,SARDINIA,BROWN,OH,39.01,-83.81,STRUCTURES DAMAGED AROUND SARDINIA. DAMAGE BELIEVED TO BE CAUSED BY A TORNADO BASED ON RADAR DEPICTION. OFFICIAL CONFIRMATION TO COME AFTER SURVEY. (ILN)
2316,UNK,7 ENE MOORESVILLE,HOCKING,OH,39.37,-82.74,EF2 TORNADO CONFIRMED. SIGNIFICANT TREE DAMAGE OBSERVED... WITH SOME HILLSIDES DECIMATED OF TREE COVER. MAXIMUM WINDS ESTIMATED AT 120 MPH. THIS TORNADO ALSO CONTINUED (ILN)
2325,UNK,12 NW MCARTHUR,VINTON,OH,39.37,-82.64,HOCKING COUNTY TORNADO CONTINUED AN ADDITIONAL 3.65 MILES INTO VINTON COUNTY. THE EF1 TORNADO UPROOTING AND SNAPPED NUMEROUS HARDWOOD TREES. (RLX)
2345,UNK,LAKE HOPE STATE PARK,VINTON,OH,39.33,-82.35,EF1 TORNADO CREATED A 200 YARD WIDE AND HALF MILE LONG SWATH OF UPROOTED AND SNAPPED TREES... INCLUDING MANY OAKS AND HICKORY TREES... IN LAKE HOPE STATE PARK. A CABIN (RLX)
2352,UNK,2 ESE LAKE HOPE STATE P,VINTON,OH,39.33,-82.32,EF0 TORNADO DOWNED A SWATH OF TREES NEAR A CAMPSITE AND BACKPACKING TRAIL IN THE ZALESKI STATE FOREST. (RLX)
0042,UNK,2 ESE MECHANICSVILLE,ST. MARYS,MD,38.42,-76.7,EF-0 TORNADO BETWEEN 8:42-8:47 PM EDT. PATH LENGTH 3 MILES... PATH WIDTH 75 YARDS. ESTIMATED PEAK WIND GUSTS 85 MPH. (LWX)
0859,UNK,2 W PINE HILL,CAMDEN,NJ,39.79,-75.02,NWS STORM SURVEY CONCLUDED THAT A BRIEF EF-1 TORNADO OCCURRED NEAR BLACKWOOD... NJ... CAUSING DAMAGE... INCLUDING TREE DAMAGE AND DAMAGE TO OUTBUILDINGS. PEAK WIND SPEE (PHI)
1108,UNK,1 SE SARDINIA,BROWN,OH,39,-83.8,LARGE 6 TO 8 INCH BRANCHES REPORTED DOWN. TIME ESTIMATED FROM RADAR. (ILN)
